run_id,ddim,lr,bsz,trn_size,is_lora,use_cos_sche,use_ema,from_scratch,is_inpainting,base_model,trn_time_hrs,lpips,ssim,psnr
7r6s0noz,0.5,0.005,40,27000,True,False,False,False,False,pix2pix,30,N/A,N/A,N/A
b835hnfq,0.5,0.0001,20,27000,True,False,False,False,False,pix2pix,30,0.6090513467788696,0.12076440453529358,12.151820182800291
5txmj6i1,0.5,0.0001,40,27000,True,False,False,False,False,pix2pix,30,N/A,N/A,N/A
ha6wswub,0.5,1e-05,20,27000,True,False,False,False,False,pix2pix,30,0.7591138482093811,0.10094165802001952,10.621170043945312
uq7v05g2,0.75,0.0001,20,27000,True,False,False,False,True,sd-inpainting,30,0.960359275341034,0.12644092738628387,9.24695873260498
6ei613pt,0.5,0.0001,20,27000,False,False,False,False,False,sd,60,0.44604727625846863,0.17138338088989258,13.03609561920166
dg766dgh,0.5,1e-05,20,27000,False,True,False,False,False,sd,30,0.6885690689086914,0.1221526563167572,10.697734832763672
2afus61b,0.5,1e-05,10,27000,False,False,True,False,False,sd,30,0.6981697082519531,0.11958453804254532,11.396475791931152
4dro7oe6,0.5,2.75e-06,20,27000,False,False,False,False,False,sd,30,0.8321104645729065,0.09092304855585098,10.220429420471191
y5appjkm,0.5,1e-05,20,27000,False,False,False,True,False,sd,30,0.8173788189888,0.022001946344971657,7.481595039367676
5ajtw75b,0.0,1e-05,20,27000,False,False,False,False,False,sd,30,0.7796162366867065,0.061185918748378754,10.066695213317873
fstkreeo,0.25,1e-05,20,27000,False,False,False,False,False,sd,30,0.6316825151443481,0.12199950963258745,12.080865859985352
w5daifhx,0.5,1e-05,20,27000,False,False,False,False,False,sd,30,0.6893279552459717,0.0916784480214119,9.877355575561523
xwexoq8d,0.75,0.0001,10,27000,False,False,False,False,True,sd-inpainting,30,0.8587308526039124,0.051407020539045334,7.114991188049316
4rc12jo5,0.75,1e-05,20,27000,False,False,False,False,False,sd,30,0.5848165154457092,0.13963106274604797,12.206772804260254
g8kycmqy,0.5,0.0001,20,20000,False,False,False,False,False,sd,30,0.5127764940261841,0.1665278673171997,13.1216402053833
dhece0q4,0.5,0.0001,20,15000,False,False,False,False,False,sd,30,0.4962202310562134,0.1614106297492981,13.104121208190918
qf7pnzph,0.5,0.0001,20,10000,False,False,False,False,False,sd,30,0.515754222869873,0.1650642454624176,12.645977020263672
5cvjz9ox,0.5,0.0001,20,5000,False,False,False,False,False,sd,30,0.4852714538574219,0.1705232709646225,13.11080837249756
